value,text
1,One
2,Two
3,Three
4,Four
5,Five
6,Six
7,Seven
8,Eight
9,Nine
10,Ten
11,Eleven
12,Twelve
13,Thirteen
14,Fourteen
15,Fifteen
16,Sixteen
17,Seventeen
18,Eighteen
19,Nineteen
20,Twenty
21,Twenty One
22,Twenty Two
23,Twenty Three
24,Twenty Four
25,Twenty Five
26,Twenty Six
27,Twenty Seven
28,Twenty Eight
29,Twenty Nine
30,Thirty
31,Thirty One
32,Thirty Two
33,Thirty Three
34,Thirty Four
35,Thirty Five
36,Thirty Six
37,Thirty Seven
38,Thirty Eight
39,Thirty Nine
40,Forty
41,Forty One
42,Forty Two
43,Forty Three
44,Forty Four
45,Forty Five
46,Forty Six
47,Forty Seven
48,Forty Eight
49,Forty Nine
50,Fifty
51,Fifty One
52,Fifty Two
53,Fifty Three
54,Fifty Four
55,Fifty Five
56,Fifty Six
57,Fifty Seven
58,Fifty Eight
59,Fifty Nine
60,Sixty
61,Sixty One
62,Sixty Two
63,Sixty Three
64,Sixty Four
65,Sixty Five
66,Sixty Six
67,Sixty Seven
68,Sixty Eight
69,Sixty Nine
70,Seventy
71,Seventy One
72,Seventy Two
73,Seventy Three
74,Seventy Four
75,Seventy Five
76,Seventy Six
77,Seventy Seven
78,Seventy Eight
79,Seventy Nine
80,Eighty
81,Eighty One
82,Eighty Two
83,Eighty Three
84,Eighty Four
85,Eighty Five
86,Eighty Six
87,Eighty Seven
88,Eighty Eight
89,Eighty Nine
90,Ninety
91,Ninety One
92,Ninety Two
93,Ninety Three
94,Ninety Four
95,Ninety Five
96,Ninety Six
97,Ninety Seven
98,Ninety Eight
99,Ninety Nine
100,One hundred
101,One hundred and One
102,One hundred and Two
103,One hundred and Three
104,One hundred and Four
105,One hundred and Five
106,One hundred and Six
107,One hundred and Seven
108,One hundred and Eight
109,One hundred and Nine
110,One hundred and Ten
111,One hundred and Eleven
112,One hundred and Twelve
113,One hundred and Thirteen
114,One hundred and Fourteen
115,One hundred and Fifteen
116,One hundred and Sixteen
117,One hundred and Seventeen
118,One hundred and Eighteen
119,One hundred and Nineteen
120,One hundred and Twenty
121,One hundred and Twenty One
122,One hundred and Twenty Two
123,One hundred and Twenty Three
124,One hundred and Twenty Four
125,One hundred and Twenty Five
126,One hundred and Twenty Six
127,One hundred and Twenty Seven
128,One hundred and Twenty Eight
129,One hundred and Twenty Nine
130,One hundred and Thirty
131,One hundred and Thirty One
132,One hundred and Thirty Two
133,One hundred and Thirty Three
134,One hundred and Thirty Four
135,One hundred and Thirty Five
136,One hundred and Thirty Six
137,One hundred and Thirty Seven
138,One hundred and Thirty Eight
139,One hundred and Thirty Nine
140,One hundred and Forty
141,One hundred and Forty One
142,One hundred and Forty Two
143,One hundred and Forty Three
144,One hundred and Forty Four
145,One hundred and Forty Five
146,One hundred and Forty Six
147,One hundred and Forty Seven
148,One hundred and Forty Eight
149,One hundred and Forty Nine
150,One hundred and Fifty
151,One hundred and Fifty One
152,One hundred and Fifty Two
153,One hundred and Fifty Three
154,One hundred and Fifty Four
155,One hundred and Fifty Five
156,One hundred and Fifty Six
157,One hundred and Fifty Seven
158,One hundred and Fifty Eight
159,One hundred and Fifty Nine
160,One hundred and Sixty
161,One hundred and Sixty One
162,One hundred and Sixty Two
163,One hundred and Sixty Three
164,One hundred and Sixty Four
165,One hundred and Sixty Five
166,One hundred and Sixty Six
167,One hundred and Sixty Seven
168,One hundred and Sixty Eight
169,One hundred and Sixty Nine
170,One hundred and Seventy
171,One hundred and Seventy One
172,One hundred and Seventy Two
173,One hundred and Seventy Three
174,One hundred and Seventy Four
175,One hundred and Seventy Five
176,One hundred and Seventy Six
177,One hundred and Seventy Seven
178,One hundred and Seventy Eight
179,One hundred and Seventy Nine
180,One hundred and Eighty
181,One hundred and Eighty One
182,One hundred and Eighty Two
183,One hundred and Eighty Three
184,One hundred and Eighty Four
185,One hundred and Eighty Five
186,One hundred and Eighty Six
187,One hundred and Eighty Seven
188,One hundred and Eighty Eight
189,One hundred and Eighty Nine
190,One hundred and Ninety
191,One hundred and Ninety One
192,One hundred and Ninety Two
193,One hundred and Ninety Three
194,One hundred and Ninety Four
195,One hundred and Ninety Five
196,One hundred and Ninety Six
197,One hundred and Ninety Seven
198,One hundred and Ninety Eight
199,One hundred and Ninety Nine
200,Two hundred
201,Two hundred and One
202,Two hundred and Two
203,Two hundred and Three
204,Two hundred and Four
205,Two hundred and Five
206,Two hundred and Six
207,Two hundred and Seven
208,Two hundred and Eight
209,Two hundred and Nine
210,Two hundred and Ten
211,Two hundred and Eleven
212,Two hundred and Twelve
213,Two hundred and Thirteen
214,Two hundred and Fourteen
215,Two hundred and Fifteen
216,Two hundred and Sixteen
217,Two hundred and Seventeen
218,Two hundred and Eighteen
219,Two hundred and Nineteen
220,Two hundred and Twenty
221,Two hundred and Twenty One
222,Two hundred and Twenty Two
223,Two hundred and Twenty Three
224,Two hundred and Twenty Four
225,Two hundred and Twenty Five
226,Two hundred and Twenty Six
227,Two hundred and Twenty Seven
228,Two hundred and Twenty Eight
229,Two hundred and Twenty Nine
230,Two hundred and Thirty
231,Two hundred and Thirty One
232,Two hundred and Thirty Two
233,Two hundred and Thirty Three
234,Two hundred and Thirty Four
235,Two hundred and Thirty Five
236,Two hundred and Thirty Six
